Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Columbus, OH","City",2020,1,637,753,970,1248,1453,.1,1.7
"Conroe, TX","City",2020,1,800,906,1109,1512,1922,.2,3.6
"Copperas Cove, TX","City",2020,1,603,607,805,1141,1417,.3,2.1
"Coralville, IA","City",2020,1,649,770,1012,1453,1772,.2,-.3
"Coram, NY","City",2020,1,1948,2163,2577,3323,3701,-.1,1.2
"Corona, CA","City",2020,1,1509,1805,2257,3172,3907,.3,2.5
"Coronado, CA","City",2020,1,2660,2945,3820,5501,6732,-.1,.6
"Corpus Christi, TX","City",2020,1,825,864,1079,1438,1652,.2,1.9
"Corvallis, OR","City",2020,1,686,828,1039,1513,1820,0,1.4
"Costa Mesa, CA","City",2020,1,1550,1845,2370,3221,3552,.4,.6
"Covington, GA","City",2020,1,900,944,1091,1432,1759,0,-.2
"Cranston, RI","City",2020,1,898,1007,1223,1553,1825,.1,.3
"Crystal Lake, IL","City",2020,1,1043,1211,1424,1822,2168,-.1,-.4
"Dallas, GA","City",2020,1,937,983,1136,1491,1832,-.1,1.7
"Dallas, TX","City",2020,1,768,915,1137,1541,1963,0,2.4
"Danbury, CT","City",2020,1,980,1198,1513,1913,2292,-.2,2.3
"Danvers, MA","City",2020,1,1573,1795,2225,2797,3083,.1,3.1
"Daphne, AL","City",2020,1,1193,1252,1444,2101,2414,-.1,3.1
"Davenport, IA","City",2020,1,510,621,794,1044,1142,0,.9
"Davison, MI","City",2020,1,482,578,759,1005,1090,0,3.4
"Dayton, OH","City",2020,1,592,661,863,1161,1370,0,1.2
"DeSoto, TX","City",2020,1,821,978,1216,1648,2099,-.2,1.2
"Dearborn Heights, MI","City",2020,1,740,894,1163,1545,1676,.3,-4.7
"Dearborn, MI","City",2020,1,867,1048,1363,1811,1964,-.2,1.4
"Decatur, AL","City",2020,1,488,589,733,976,1023,.4,2.2
"Decatur, GA","City",2020,1,982,1030,1190,1562,1919,-.2,1.3
"Deerfield Beach, FL","City",2020,1,974,1204,1527,2102,2531,0,1
"Delray Beach, FL","City",2020,1,985,1218,1545,2126,2561,.9,3.8
"Deltona, FL","City",2020,1,729,878,1096,1476,1657,0,-1.5
"Denton, TX","City",2020,1,731,871,1082,1468,1869,.1,2
"Denver, CO","City",2020,1,875,1069,1353,1966,2277,0,.8
"Des Moines, IA","City",2020,1,554,655,806,1093,1190,-.3,0
"Des Plaines, IL","City",2020,1,845,981,1154,1476,1756,-.1,.1
"Detroit, MI","City",2020,1,571,690,898,1193,1294,0,.5
"Douglasville, GA","City",2020,1,1004,1053,1217,1597,1963,.2,1.9
"Downey, CA","City",2020,1,1323,1575,2023,2750,3032,.1,.5
"Drexel Hill, PA","City",2020,1,765,908,1096,1371,1526,-.1,1.1
"Duarte, CA","City",2020,1,1248,1486,1909,2595,2861,.1,1.4
"Duluth, GA","City",2020,1,1233,1293,1494,1961,2410,-.3,2.5
"Duluth, MN","City",2020,1,586,680,869,1129,1353,.1,.6
"Duncanville, TX","City",2020,1,844,1005,1249,1694,2158,0,1.4
